WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
551,Ayorou,NE,14.7308,0.9174,91.24,44,45,11.32,scattered clouds
552,Muros,ES,42.7762,-9.0603,65.23,87,91,5.48,overcast clouds
553,Mersing,MY,2.4312,103.8405,76.91,88,100,3.44,overcast clouds
554,Guozhen,CN,34.3659,107.359,72.84,52,90,2.68,overcast clouds
555,Verkhnyaya Inta,RU,65.9811,60.3094,57.65,97,100,19.98,overcast clouds
556,Portland,US,45.5234,-122.6762,89.2,39,12,1.99,few clouds
557,San Francisco,US,37.7749,-122.4194,85.87,81,40,7.0,scattered clouds
558,Khani,GE,41.9563,42.9566,71.17,80,79,5.08,broken clouds
559,Port Said,EG,31.2565,32.2841,85.98,70,0,8.05,clear sky
560,Las Piedras,UY,-34.7264,-56.22,63.82,77,20,9.22,few clouds
561,Montepuez,MZ,-13.1256,38.9997,64.45,83,26,4.94,scattered clouds
562,Rocafuerte,EC,-0.9167,-80.4333,80.47,62,73,9.93,broken clouds
563,Bambanglipuro,ID,-7.95,110.2833,74.62,89,92,5.41,overcast clouds
564,Kudahuvadhoo,MV,2.6708,72.8944,81.46,75,81,7.0,broken clouds
565,Oxford,GB,51.7522,-1.256,62.78,94,40,9.22,scattered clouds
566,Sydney,AU,-33.8679,151.2073,50.29,74,0,4.0,clear sky
567,Antalya,TR,36.7741,30.7178,90.01,89,0,3.44,clear sky
568,Dali,CN,25.7,100.1833,62.92,88,36,1.3,scattered clouds
569,Koundara,GN,12.4833,-13.3,76.17,90,100,5.53,overcast clouds
570,Saint-Joseph,RE,-21.3667,55.6167,64.76,77,22,12.95,light rain
571,Horn Lake,US,34.9554,-90.0348,87.48,45,75,5.99,broken clouds
572,Dalby,AU,-27.1833,151.2667,30.9,91,67,6.04,broken clouds
573,Sitka,US,57.0531,-135.33,63.25,77,97,1.86,light rain
574,Sambava,MG,-14.2667,50.1667,69.82,84,99,14.99,light rain
575,Grand-Lahou,CI,5.1367,-5.0242,75.4,88,98,9.01,overcast clouds
576,Murdochville,CA,48.9583,-65.5006,65.28,70,100,7.76,overcast clouds
577,Batemans Bay,AU,-35.7167,150.1833,43.18,79,0,4.9,clear sky
578,Labuan,MY,5.2767,115.2417,79.16,83,20,1.99,few clouds
579,Thinadhoo,MV,0.5333,72.9333,80.6,76,100,5.66,heavy intensity rain
580,Cap-Aux-Meules,CA,47.3821,-61.8597,64.45,88,90,14.97,overcast clouds
581,Mantua,IT,45.1667,10.7833,74.88,72,3,1.01,clear sky
582,Eucaliptus,BO,-17.5833,-67.5167,56.01,19,11,17.18,few clouds
583,Villarrica,PY,-25.75,-56.4333,69.26,50,100,4.65,overcast clouds
584,Aguimes,ES,27.9054,-15.4461,70.43,78,75,24.16,broken clouds
585,Manggar,ID,-2.8833,108.2667,81.12,81,100,10.94,overcast clouds
